id,sentiment
893,3
894,3
895,4
896,3
897,4
898,3
899,3
900,4
901,4
902,3
903,3
904,3
905,3
906,3
907,3
908,5
909,3
910,3
911,3
912,3
913,4
914,3
915,3
916,3
917,3
918,3
919,3
920,4
921,3
922,3
923,3
924,3
925,3
926,3
927,4
928,4
929,3
930,3
931,3
932,3
933,3
934,5
935,3
936,4
937,3
938,3
939,3
940,3
941,3
942,3
943,3
944,3
945,4
946,3
947,3
948,3
949,3
950,3
951,3
952,3
953,3
954,3
955,3
956,3
957,3
958,3
959,3
960,3
961,3
962,3
963,3
964,4
965,3
966,3
967,3
968,3
969,3
970,3
971,4
972,4
973,3
974,3
975,4
976,4
977,3
978,4
979,3
